Time(s),A,B,C,D
21.202,31361,31368,52,24005
21.214,30032,28373,42,24122
21.227,31318,29109,47,24512
21.24,28218,30203,58,24523
21.252,29075,31390,43,24952
21.264,30523,29972,41,24592
21.275,30398,28434,57,25302
21.287,29601,31126,59,24795
21.3,28560,28730,44,25129
21.313,29646,29435,40,24427
21.325,28848,31573,40,24164
21.338,28439,29169,43,25734
21.351,30830,31745,43,25991
21.363,30057,29820,45,24419
21.374,29567,28251,59,24115
21.387,28896,31882,47,25275
21.4,28010,30203,53,25031
21.412,28493,30336,46,24193
21.423,29789,29908,54,24585
21.436,30541,28157,41,25268
21.448,31120,31251,56,24067
21.461,30792,31293,52,24198
21.473,28339,30142,47,25734
21.486,30724,30627,40,24195
21.498,31951,28812,52,24351
21.51,30203,31819,41,25618
21.523,31072,29669,56,24022
21.534,28770,30308,53,24866
21.547,28156,31117,60,24130
21.56,28464,30464,53,25371
21.571,31560,29406,56,25425
21.584,28947,29549,53,24959
21.595,28651,28280,45,25823
21.608,28375,29300,51,25501
21.62,29012,30375,60,24761
21.633,30234,31224,59,24368
21.644,29179,29063,50,25133
21.657,31659,28580,59,24104
21.669,30121,31411,54,24394
21.682,30632,29864,48,25730
21.693,31968,30356,47,24195
21.704,31678,28401,54,24365
21.717,29155,29333,58,24496
21.729,28084,31808,49,25412
21.742,31724,30697,45,25710
21.755,31019,31251,54,25512
21.767,28529,28469,46,25786
21.78,31844,29362,43,24301
21.79,31578,31593,49,24512
21.803,30491,31897,59,25610
21.815,30427,31217,41,24781
21.828,30467,30622,57,25930
21.841,28214,31171,49,25937
21.853,30973,31464,45,24003
21.865,28308,30526,49,25953
21.877,28398,31579,41,25836
21.89,29498,29329,56,25110
21.903,28534,29750,50,24657
21.918,30942,28587,53,25392
21.929,28409,30445,43,24829
21.94,31850,29030,47,25147
21.953,29193,28249,40,25302
21.965,31052,28918,56,24343
21.978,29616,29651,48,24130
21.989,31160,30587,56,25003
22.001,30719,31594,46,24620
22.014,28243,31367,46,24600
22.025,28795,29878,51,24913
22.037,30618,29575,48,24160
22.05,30207,29802,56,24922
22.063,29961,29483,60,24212
22.075,28774,30648,49,24960
22.088,28132,31875,44,24619
22.101,30590,31673,40,24262
22.112,31207,28860,49,24905
22.123,28077,31401,58,25545
22.136,31224,30115,58,25266
22.148,30708,29529,47,24075
22.161,31085,30172,45,25321
22.174,29796,31820,52,24989
22.185,28945,29915,60,24190
22.198,28360,30224,42,24828
22.209,28546,28397,41,25006
22.222,31477,30800,51,24239
22.233,30858,28944,53,24149
22.245,30311,31358,42,25095
22.257,31391,29056,49,24993
22.268,30391,30552,53,24983
22.281,28586,31061,44,24506
22.293,28540,31594,46,25267
22.306,29103,30212,53,24942
22.318,31478,30343,58,24698
22.331,30170,28158,56,24301
22.343,30772,30947,50,24431
22.355,31895,29087,60,25870
22.367,28117,28469,55,24989
22.38,28558,29847,56,24607
22.39,29387,31462,57,24245
22.402,31115,28085,55,25014
22.413,30536,30651,44,25845
22.425,31783,29259,45,24701
22.438,29877,30204,50,25246
22.45,31138,30410,59,25994
22.463,29320,29244,44,24723
22.476,30335,29290,41,25143
22.487,30007,28100,60,24977
22.498,28144,28918,47,25075
22.51,28032,30318,60,24691
22.523,29848,29404,40,24348
22.536,30636,31682,41,25440
22.548,30696,29532,53,25340
22.561,30582,31839,46,25231
22.573,28351,28697,58,25315
22.586,28338,31735,56,25348
22.599,29316,30876,45,25247
22.611,30720,30026,52,24165
22.623,30042,30605,46,25105
22.636,30543,30598,58,24807
22.648,30620,30768,46,25988
22.659,28533,31628,44,24505
22.671,30326,29116,50,25113
22.684,29256,31522,53,24044
22.695,29684,30126,45,24067
22.708,29637,30967,54,24888
22.719,28498,31013,57,24427
22.732,28746,28208,57,25002
22.744,30874,31059,58,24292
22.757,28165,28091,48,24787
22.767,31767,29140,40,24350
22.78,30673,29659,49,25827
22.793,28724,31125,56,24655
22.805,29474,30295,48,24652
22.818,30932,29152,49,25330
22.829,29008,30625,48,25588
22.842,30053,31249,49,25230
22.853,29895,29692,54,24510
22.865,29643,31379,46,24155
22.875,29518,30922,49,24811
22.888,29651,29126,49,24658
22.901,31656,30417,43,25314
22.913,30768,28428,45,25994
22.926,30293,31142,59,25603
22.939,28860,28735,46,24613
22.95,29916,29944,57,24580
22.962,30807,31073,51,24684
22.975,28031,30409,54,25393
22.985,28222,30294,57,25754
22.998,29805,31505,42,25503
23.01,29132,29060,43,24379
23.022,28982,28471,47,24821
23.035,31935,31083,42,25560
23.047,30444,30870,50,24052
23.059,31650,29352,49,25845
23.072,30884,31604,57,25083
23.083,28081,30445,45,24382
23.095,30294,28159,42,25310
23.107,29011,30142,47,25714
23.12,29463,29926,42,25696
23.132,31983,30613,46,24180
23.144,31346,29464,54,24103
23.157,30279,28637,59,25871
23.173,31369,28599,57,25430
23.185,28262,28861,51,24667
23.198,28434,29957,45,24886
23.21,28990,29883,57,25356
23.223,28849,31726,50,25903
23.235,30908,28694,41,24351
23.248,31151,30002,48,25956
23.26,30173,30895,47,24221
23.273,31486,31064,49,24134
23.285,29171,29175,45,24573
23.298,31260,30328,51,24094
23.311,31947,28285,53,25208
23.323,29606,29289,45,25760
23.336,29523,28313,54,25343
23.348,31967,31485,40,24753
23.361,30201,31719,46,25464
23.373,29827,31281,57,24976
23.385,31354,28776,41,25048
23.398,30682,28338,59,24292
23.41,30213,29099,41,25497
23.423,30406,30217,40,25404
23.435,30165,31818,45,24931
23.448,28539,29172,58,24826
23.461,31640,31701,54,25683
23.473,28779,28941,59,24864
23.486,31017,30184,60,24581
23.499,28109,31099,59,24537
23.511,31895,31927,55,25971
23.523,30144,30104,52,25105
23.535,31249,30141,45,24990
23.547,30434,28651,40,24134
23.559,31238,30717,49,25140
23.571,31286,29316,44,25198
23.583,30409,28490,50,24823
23.595,31644,30445,56,24715
23.608,28627,31481,49,25431
23.621,29970,29065,60,24012
23.633,30100,28063,47,24855
23.644,30590,31869,49,24441
23.655,28528,31092,50,24096
23.668,31337,29855,58,25367
23.68,28449,30777,44,24779
23.693,29817,29691,60,25524
23.705,29438,28325,60,24442
23.718,28805,29487,40,24339
23.731,29342,30106,43,25204
23.743,29195,29933,40,24749
23.754,30814,30046,57,25248
23.766,31050,28160,48,24885
23.779,31681,31100,51,25551
23.791,28861,29248,49,25536
23.803,31459,29856,41,24179
23.816,31237,30325,46,24059
23.829,29278,31243,43,24347
23.841,28034,28878,47,25764
23.853,28896,30284,60,25017
23.866,29962,28471,45,24306
23.879,28950,28262,58,24731
23.891,31727,29054,50,25866
23.903,28461,28203,60,24252
23.916,31402,31628,41,24558
23.929,30026,29460,60,25293
23.941,28362,28165,46,24283
23.953,30114,31960,57,25387
23.965,29433,28825,59,25727
23.978,29426,28112,50,24720
23.99,31753,29574,56,24600
24.003,29202,29674,49,25857
24.014,30103,30008,48,24302
24.027,31359,31045,53,24793
24.04,31899,30321,44,25286
24.052,30230,28221,47,24811
24.065,28806,30705,53,25118
24.078,29006,28362,49,25647
24.09,31448,30274,42,24266
24.103,28412,30236,50,25826
24.116,30545,30826,45,24362
