Time(s),A,B,C,D
54.245,28363,30163,52,25838
54.257,30663,29577,56,24284
54.269,30196,31281,57,25756
54.282,28075,29569,41,25561
54.295,28175,31194,58,24668
54.307,29276,29904,55,24292
54.318,28342,28132,59,24191
54.328,31931,28949,42,25918
54.339,30271,28875,51,25838
54.351,31142,30049,40,24971
54.364,31512,30849,52,24130
54.377,29414,31903,55,25257
54.389,30356,30915,47,24170
54.402,29432,28152,42,25178
54.415,29442,28623,57,24983
54.426,29939,29370,56,24736
54.439,29525,29476,52,25092
54.45,28378,31355,46,25974
54.461,31895,30360,43,24182
54.474,30607,30695,42,25537
54.486,31432,31906,54,25962
54.499,28998,28296,56,24467
54.51,29630,28407,42,25813
54.521,31847,29991,47,24932
54.533,28651,31147,49,25768
54.546,29243,31760,42,24826
54.559,28193,28611,53,25370
54.571,30002,28216,48,24987
54.583,28957,30461,52,24325
54.596,28347,30033,46,24085
54.608,31980,29836,56,24519
54.619,28968,31663,47,25185
54.63,30086,29845,60,24915
54.643,29977,29155,43,25903
54.656,29427,31429,44,24673
54.667,29244,31231,60,24321
54.679,31198,28739,48,24785
54.69,29426,31737,58,25363
54.701,30488,31969,48,24838
54.711,30200,30878,45,24097
54.724,28218,29679,58,25006
54.736,29242,30593,55,25097
54.748,31091,28671,43,25240
54.76,31701,30323,52,24176
54.771,28673,28436,58,25904
54.784,29245,29342,54,24953
54.796,31661,30398,51,24463
54.809,29992,31482,43,24169
54.82,29275,31772,50,24343
54.83,28492,28471,56,25536
54.843,31680,30726,50,25886
54.856,28802,30060,59,25096
54.868,30914,28763,50,24848
54.879,31293,29075,54,25927
54.892,30757,29419,43,25422
54.904,29252,28660,53,24252
54.917,30763,30063,56,25201
54.927,30123,28592,48,25850
54.94,28296,30854,52,25884
54.953,28619,29755,47,24658
54.963,29797,28071,51,24898
54.975,28932,29383,50,24313
54.986,28361,31294,51,25727
54.997,31129,31412,42,24988
55.009,31044,30520,45,24094
55.022,31719,30443,42,25008
55.034,29848,31369,56,24773
55.047,30077,28367,47,25584
55.059,28985,28986,56,25951
55.072,28297,28923,50,24246
55.085,29161,31505,41,24956
55.096,30352,29999,57,24159
55.108,28577,28899,44,24825
55.12,28653,30117,46,24443
55.133,29082,29649,40,25444
55.145,31375,31095,42,25377
55.158,29187,29191,59,25942
55.171,30808,31161,42,25572
55.183,30571,28889,40,25936
55.196,29096,28306,41,24513
55.208,29291,30445,45,24223
55.219,31027,31474,42,25665
55.232,29881,31779,45,25186
55.245,29821,31435,57,25441
55.257,30194,28665,55,24105
55.27,31736,28522,41,25818
55.283,30877,31782,50,25259
55.295,28313,29902,47,25412
55.308,30361,29311,57,24334
55.32,31652,30043,45,25759
55.331,31004,31413,58,24889
55.344,30842,29783,60,25232
55.357,29110,28236,55,24215
55.369,29835,29804,59,25699
55.382,29654,28288,59,25183
55.392,29579,29774,47,25546
55.405,28050,31835,48,24830
55.416,31007,28041,56,24775
55.429,28119,31826,45,24829
55.442,31996,30185,44,24182
55.452,29476,28867,54,24976
55.465,31768,30104,51,25771
55.476,28953,30253,40,25229
55.487,31621,28742,47,24582
55.499,30968,28072,44,25325
55.512,28539,29867,47,25333
55.524,29091,31695,49,25835
55.537,29250,31460,52,25525
55.548,30028,28210,49,25309
55.559,30056,31369,53,24354
55.572,31634,30671,53,24711
55.584,28633,29951,56,24855
55.595,29409,31101,45,24291
55.608,28542,30797,41,24889
55.621,28783,29985,54,24930
55.632,29738,31025,46,24578
55.645,31498,28333,57,24799
55.657,28886,29207,45,24703
55.669,29983,30134,43,24439
55.682,30179,28689,56,25398
55.694,30764,29119,55,25369
55.706,31199,31190,60,25906
55.719,31576,28929,48,25905
55.731,30360,29329,52,24380
55.743,28843,31044,59,24227
55.756,31497,28301,47,24502
55.768,31984,30988,57,24080
55.779,29370,29524,47,24188
55.791,31997,28963,43,25510
55.804,31369,31142,55,24035
55.816,31574,29216,50,24315
55.829,29105,31023,41,24592
55.841,28864,30971,49,25499
55.854,29164,31313,50,25086
55.867,29834,30175,55,24334
55.879,30289,30454,57,24655
55.892,29409,31282,55,24602
55.904,31942,30216,60,24486
55.917,29302,31346,45,24476
55.929,29255,29333,58,24928
55.94,29292,31594,40,25481
55.953,31903,30173,56,24123
55.965,30957,28880,52,24070
55.978,31558,31564,50,24463
55.99,28020,30167,44,25997
56.003,29487,31389,56,24250
56.016,28137,30027,48,25826
56.028,31566,29995,49,25367
56.041,30458,28599,52,25915
56.054,28156,29991,48,24658
56.066,29552,29886,44,25639
56.079,28256,31691,53,24875
56.092,31926,31897,60,25558
56.105,31333,28254,45,25751
56.117,28709,31861,55,24465
56.13,30931,29648,54,25651
56.141,29820,29802,54,25470
56.151,29621,31350,60,24127
56.164,28794,31047,54,25547
56.177,30427,29454,54,24544
56.189,31394,31483,55,25237
56.201,28665,31089,44,24895
56.212,31792,31940,46,25605
56.229,29162,30165,40,24020
56.241,31557,28456,48,25558
56.252,31492,31452,41,24877
56.265,30852,31045,57,24515
56.277,30296,28317,55,24710
56.29,31266,30855,50,24102
56.302,28031,29813,48,24129
56.315,29321,31385,46,24846
56.327,31118,29631,46,24351
56.34,28786,30285,52,25549
56.353,31628,31650,60,25514
56.365,30024,31052,57,25471
56.377,28790,30802,50,24326
56.39,28014,28270,57,25274
56.403,31298,29522,57,24881
56.413,31413,30871,53,25154
56.425,29164,30820,44,25699
56.438,31806,31505,48,24415
56.451,28305,30183,55,24954
56.463,29152,31500,58,25772
56.476,30427,28908,51,24761
56.489,29034,29035,41,25940
56.501,28309,30783,40,24587
56.513,29838,28641,55,24715
56.526,30790,29190,52,25917
56.539,31941,30518,54,25583
56.551,31858,30585,49,24315
56.564,29699,29201,40,25122
56.577,28318,28235,48,25483
56.589,28728,31962,58,24608
56.602,30865,30318,55,24892
56.614,31079,28448,51,24240
56.627,31659,30628,41,24471
56.639,29860,28555,43,25435
56.651,30383,29977,54,24968
56.663,29728,30795,41,25840
56.676,30773,29110,40,24715
56.689,28543,29631,58,24350
56.701,31219,31403,46,24682
56.713,29610,30179,42,24957
56.725,31060,30944,51,24087
56.741,29364,30386,57,25004
56.753,31175,31316,41,25591
56.765,29318,28426,40,24707
56.778,28850,31804,40,24071
56.791,31503,28233,41,25481
56.803,30804,28959,48,25278
56.816,28388,28633,45,24022
56.829,30262,31474,52,25655
56.841,31967,31860,48,24406
56.854,30629,28007,48,25004
56.866,28441,30369,48,25017
56.879,29267,30454,50,25208
56.892,30144,28848,41,24856
56.904,31141,29256,59,24644
56.917,28972,29809,52,25275
56.929,28699,30102,42,24095
56.941,28143,31059,44,24411
56.954,31505,30156,49,24417
56.967,28930,29574,54,24998
56.979,28449,30245,51,25717
56.992,30470,31427,53,25925
57.004,30103,31804,49,24599
57.016,28086,28217,54,24411
57.027,29561,30884,45,24015
57.038,30664,30729,56,25353
57.051,28528,31027,42,24015
57.063,28233,29357,60,25445
57.076,30322,30733,46,24436
57.089,29248,28407,58,24613
57.101,29439,31959,52,25268
57.114,29495,28592,42,25615
57.127,31011,31224,56,25555
57.139,31458,31211,57,24481
57.15,30823,31845,48,24985
57.161,29595,29934,60,24536
57.172,31639,28990,51,25148
57.185,31186,28402,47,24534
57.197,30501,29307,57,24473
57.209,30654,28310,56,24608
57.222,29974,29556,56,24333
57.234,30960,28109,51,24708
57.247,29936,28805,50,24584
57.259,29848,29238,53,25627
57.271,28337,31267,40,25030
57.283,30573,29704,45,25911
57.296,31991,30913,42,24093
57.309,28392,29946,45,25427
57.32,31702,30719,55,25676
57.332,30619,30120,57,25515
57.343,28912,31098,42,24383
57.356,31223,29795,56,24807
57.368,30376,29281,58,25723
57.379,30592,29805,52,24399
57.391,30150,29559,41,25890
57.404,31873,29545,47,24038
57.416,28656,31877,52,25420
57.427,28351,29152,49,25737
57.439,30655,29422,41,25512
57.452,29696,30103,49,25426
57.463,30771,31880,40,25337
57.476,30182,29701,54,25924
57.489,29783,31864,57,25214
57.501,28010,30121,53,24602
57.514,31934,28069,54,24923
57.526,30217,31925,55,24062
57.538,30707,31419,51,25320
57.551,29871,31789,45,25905
57.563,29593,29984,42,24103
57.576,29530,31860,60,24722
57.588,29709,29273,42,25910
57.599,28918,28716,45,25828
57.612,31036,30980,47,25548
57.624,30103,30564,57,24376
57.637,31576,31028,46,25130
57.649,29326,28519,40,25568
57.661,28307,31440,50,24157
57.674,31962,29218,46,24375
57.685,29319,28317,42,24633
57.696,29676,31809,40,25585
57.708,31333,30261,53,25239
57.719,28371,30782,43,25956
57.732,29061,30065,53,24855
57.743,29642,31096,43,24811
57.755,31622,29813,40,24795
57.768,30340,30242,41,25579
57.78,28449,29828,53,24268
57.793,29183,31631,48,25191
57.805,28639,29119,40,24451
57.818,29918,28902,46,24671
57.83,31651,30691,43,25740
57.843,28374,31473,50,24691
57.856,31157,28536,60,24870
57.868,30170,29048,42,24926
57.879,29287,30188,50,24835
57.892,29001,29797,46,24464
57.904,31955,29691,52,24375
57.917,30393,28538,56,25189
57.929,28379,31435,55,24421
57.942,31826,31754,56,25630
57.954,30940,28819,50,24924
57.967,28809,30184,42,25619
57.978,29649,30992,58,25931
57.989,29017,31503,43,25233
58.0,31143,31620,54,24684
58.013,30935,29640,44,24517
58.025,29771,28629,45,25544
58.038,30857,29646,46,25612
58.049,29382,29338,46,24277
58.062,30214,28984,43,24067
58.074,30339,28585,46,24687
58.087,30191,29047,57,25257
58.099,28840,30156,59,24668
58.111,29127,28710,47,24141
58.123,29319,31164,41,24281
58.135,28656,28021,59,24130
58.147,29855,30058,41,25427
58.159,28269,29645,42,25442
58.171,29196,30168,57,25021
58.183,30283,31403,46,24978
58.195,28521,31002,44,25137
58.208,31127,31363,42,25611
58.221,31355,30570,54,24397
58.233,30650,29537,51,24702
58.246,30978,30323,46,24279
58.258,29588,30768,42,24208
58.269,28170,29804,56,24787
58.28,30458,28991,49,25419
58.291,29181,30930,41,24446
58.304,29893,28588,60,25137
58.316,28799,29531,51,24461
58.329,29661,31371,56,25912
58.341,29047,31807,49,24948
58.352,28300,29063,59,24331
58.365,29221,29721,40,25421
58.378,29511,28605,53,24635
58.39,29499,28250,54,25910
58.402,31577,29044,44,24456
58.414,28418,29051,51,25567
58.427,28401,29100,43,25295
58.439,29182,30826,44,25027
58.451,30907,30624,55,24323
58.464,30253,31324,42,25649
58.477,30853,28961,58,25359
58.489,30709,31992,40,25119
58.501,29573,31890,49,24757
58.514,31129,30023,53,25571
58.526,31665,28518,47,24539
58.538,30990,28976,40,25600
58.549,29083,28733,53,24832
58.562,29650,30398,55,24229
58.574,31584,28853,50,25047
58.585,31973,29391,54,24297
58.596,30451,31353,50,24319
58.608,31539,29872,48,25522
58.62,29236,31965,49,24182
58.633,30724,30953,41,25257
58.646,28992,31854,47,24213
58.657,30585,30658,56,24885
58.669,30203,29630,55,25420
58.681,29686,28285,55,25379
58.694,31981,28841,53,24286
58.707,29245,28646,46,25959
58.719,30203,31407,58,25131
58.731,29010,30175,57,24964
58.742,31332,29955,48,25355
58.754,28707,29298,47,24673
58.767,29007,28559,50,24702
58.779,30052,31003,59,25181
58.791,29404,28032,45,25648
58.804,28905,28342,50,24852
58.815,29568,28986,49,25611
58.827,28196,31282,41,24470
58.839,29983,29815,44,25144
58.851,30746,28751,45,25341
58.864,31019,29338,43,25427
58.876,31835,30906,47,24883
58.889,28727,28210,44,24853
58.902,31666,31583,58,24185
58.912,29809,28572,48,25140
58.923,28874,30992,55,25247
58.936,31202,31610,56,25969
58.949,28695,31619,47,24751
58.959,30190,30971,43,24290
58.971,28908,31258,59,24981
58.982,30717,28005,60,24832
58.995,31634,30141,45,24706
59.007,28300,30268,40,24131
59.019,29381,31398,50,24275
59.029,30457,28805,60,24414
59.041,29212,30941,51,24446
59.054,30188,30269,48,25178
59.066,30125,30367,49,25215
59.083,29003,29376,48,25467
59.095,30560,29302,58,25409
59.107,29634,31522,41,25353
59.119,30806,29243,57,24885
59.13,28904,31803,59,24735
59.141,28926,31627,53,24729
59.154,31987,31968,52,24991
59.166,29386,28515,42,25271
59.177,28737,29338,51,24603
59.188,30796,28825,50,24646
59.201,31828,29301,60,24120
59.213,29612,28940,56,24667
59.226,31352,31870,53,24508
59.238,28639,30118,59,24489
59.25,31770,31045,46,25101
59.261,29131,29033,50,24141
59.274,31387,29538,58,25303
59.287,31783,28002,52,24612
59.299,29602,30301,43,24650
59.311,28831,28317,50,25037
59.324,28036,31841,46,24710
59.337,31899,29849,47,25742
59.349,28873,30153,56,24625
59.36,28064,31701,59,24981
59.373,29166,31289,44,25534
59.386,28039,31513,48,25118
59.398,29612,31323,51,25410
59.409,28375,29111,57,25755
59.421,30196,29297,57,24679
59.433,31592,28059,58,24661
59.445,30398,31431,50,25086
59.458,28443,31617,48,25011
59.469,31555,29669,44,24658
59.482,29914,31912,59,24388
59.494,28458,29407,49,24471
59.506,31082,28661,47,25519
59.519,28133,28633,41,25001
59.531,30449,28266,47,24193
59.542,30911,30466,44,25508
59.553,30920,28580,40,25273
59.563,29707,28592,51,25537
59.576,30338,31955,56,25019
59.589,31673,28358,57,24892
59.601,28888,28974,58,24856
59.614,29367,28583,60,25607
59.625,30418,28163,59,24129
59.638,29976,30945,58,24106
59.649,29049,30958,45,25926
59.662,31886,29027,55,25119
59.675,30363,31666,52,24595
59.687,28912,30060,45,24024
59.7,31048,31825,52,25450
59.713,30538,30919,41,25622
59.725,30408,31495,60,25196
59.737,31522,29716,47,24948
59.749,30816,28404,40,25518
59.761,29797,28489,41,25262
59.771,30606,30566,48,25099
59.783,29440,29620,55,24996
59.795,29576,31052,46,25591
59.806,29746,29105,40,25019
59.819,31570,29620,45,24254
59.831,30026,28284,56,25578
59.842,28235,29372,41,24510
59.854,31791,28248,52,24854
59.867,31388,30786,46,24655
59.879,28982,28748,52,24531
59.892,28962,29184,43,25490
59.904,31552,29264,60,24049
59.917,29714,28885,41,24063
59.928,29927,29183,49,24777
59.941,31413,29083,49,25472
59.953,28286,29261,52,24473
59.966,28089,29416,60,25972
59.977,29067,30325,55,24477
59.988,30909,29205,48,24740
0.001,30390,30172,54,25088
0.011,28234,30242,57,24286
0.024,28839,30753,45,25208
0.037,28619,31132,60,25031
0.05,28476,28399,54,24732
0.062,28010,29179,55,25300
0.073,31540,29711,47,24551
0.084,29663,31090,44,24652
0.094,30207,29849,49,24087
0.106,29244,29406,46,24822
0.118,29440,31790,48,24474
0.131,28426,28837,51,25492
0.142,31540,31994,45,24915
0.155,30730,29021,46,25091
0.167,30803,31963,55,25173
0.179,28800,28264,41,25079
0.192,28629,30064,50,24520
0.203,29262,29596,45,25957
0.215,30871,29576,45,25410
0.228,31623,30786,49,24781
0.24,31902,31686,54,24162
0.253,30491,29141,46,25269
0.266,30145,30207,43,24310
0.278,31138,31197,41,25133
0.291,31510,28671,59,24933
0.304,29728,30941,41,24979
0.316,28743,31704,59,25093
0.329,29782,31826,54,25147
0.342,31463,31686,54,24102
0.352,28740,31741,43,24757
0.365,30125,31053,46,25624
0.377,31388,29284,57,25193
0.389,31160,28287,43,24686
0.401,31288,28185,57,25524
0.413,31372,30627,57,24577
0.426,28837,30578,44,25136
0.437,30267,31976,49,24296
0.449,28165,31644,42,24945
0.46,31621,28182,58,25077
0.471,28108,28896,46,25956
0.484,30306,29699,54,25099
0.496,29111,28356,48,24077
0.511,30898,29987,54,25648
0.522,28471,28569,60,25669
0.535,29089,29607,49,25551
0.545,29906,29195,41,24544
0.558,30391,30754,51,24845
0.57,30330,30948,55,25535
0.583,30485,30691,44,25832
0.596,29667,30077,57,24744
0.608,30722,28026,44,25403
0.619,30734,30505,46,25400
0.631,31511,30999,55,24425
0.643,28718,28140,53,24831
0.656,31584,29674,60,24698
0.669,28907,30875,48,25955
0.681,28277,28985,44,24401
0.693,30016,29549,53,25740
0.706,31954,29469,47,25306
0.718,31235,28285,48,25244
0.731,31382,30052,49,24690
0.742,30975,30504,56,25836
0.763,31286,30074,50,25397
0.775,29710,31781,55,25697
0.787,28433,31481,52,24121
0.798,29581,29224,57,25642
0.81,29508,30351,44,25347
0.823,30187,30807,48,24843
0.836,30081,31742,52,24322
0.846,28323,31748,54,24190
0.858,31870,31330,49,24039
0.87,28412,31981,60,25824
0.88,29019,28501,49,25633
0.893,30180,30232,46,24885
0.906,31686,28217,54,25602
0.918,28849,30112,52,24314
0.931,30652,31496,58,24793
0.941,30544,28506,57,25252
0.954,29340,28325,40,24576
0.967,30169,30245,51,24852
0.979,30873,29165,41,25342
0.992,28779,30315,44,24794
1.005,30214,31536,56,25531
1.017,29392,30654,48,24828
1.029,29233,30960,59,24507
1.041,29184,29391,40,24227
1.054,28300,29465,52,25915
1.065,30524,31070,47,24417
1.078,30472,30078,43,25021
1.089,30835,28588,53,25545
1.102,28365,28770,46,25096
1.114,29066,30046,52,25989
1.127,28076,30341,51,25295
1.138,28536,28127,56,24838
1.149,30547,29570,53,24413
1.16,28827,28371,57,25901
1.172,31409,29461,59,24704
1.185,28482,29386,40,24215
1.197,29106,28277,40,25548
1.209,28613,29237,41,25955
1.222,31946,31369,57,24852
1.234,29922,28211,57,25994
1.248,31454,28181,47,24774
1.261,30230,28024,50,25296
1.274,29760,30234,48,25301
1.287,30891,28090,42,24957
1.298,28680,29727,58,24141
1.311,29433,31514,50,25680
1.324,29933,31096,42,24944
1.334,28960,28436,48,24381
1.347,28045,30158,42,24850
1.359,28717,28451,44,25250
1.372,30435,29933,57,25012
1.383,31252,31553,49,24847
1.396,29713,31408,52,24984
1.408,29689,31924,51,25943
1.421,31974,31039,55,24181
1.432,29487,30087,49,25963
1.442,31138,28939,53,25447
1.455,29917,31659,48,24930
1.466,28855,29956,41,25109
1.476,31450,31708,41,24661
1.489,28789,30123,56,24190
1.499,31929,28025,47,24328
1.511,29850,28572,58,25120
1.524,28725,30576,52,25246
1.537,28377,28501,49,24521
1.549,30468,28167,57,25694
1.562,29532,31930,40,24554
1.575,29199,28644,53,25485
1.587,28231,28345,43,25442
1.598,30411,28683,55,24517
1.611,30882,28000,56,24440
1.623,30780,31795,47,24048
1.636,29936,28920,60,25666
1.649,29969,31961,53,24615
1.661,30982,30595,50,24819
1.673,29711,31815,57,25247
1.686,30578,31547,56,24078
1.699,31527,28444,51,24598
1.712,30503,31305,49,24158
1.724,30566,28674,52,24927
1.737,31209,30415,47,24262
1.747,29282,29465,54,25948
1.76,31486,31642,43,25211
1.772,28322,31702,41,25870
1.784,29243,29369,43,24388
1.797,28975,29125,43,25475
1.81,29829,30693,60,24197
1.821,30560,28781,44,25211
1.833,30559,30321,55,25089
1.846,28161,28254,60,25721
1.858,28530,28973,42,24871
1.869,28531,30588,42,24449
1.881,30168,29489,52,24890
1.893,29704,28061,46,25323
1.905,30028,28870,55,25128
1.918,28947,28407,45,24603
1.931,30032,29432,53,24842
1.943,31588,30019,53,24599
1.955,29716,31493,55,25559
1.968,30710,31332,48,25403
1.979,31980,30428,47,24331
1.992,30286,30400,45,24469
2.004,28797,31356,47,24337
2.015,29187,31052,54,25751
2.027,30087,28472,50,25384
2.04,31729,28114,56,24083
